Data Level,SCHOOL_YEAR,REPORTING_PERIOD,DISTRICT_NUMBER,DISTRICT_NAME,EMPLOYMENT_CATEGORY,GENDER,HEADCOUNT,FTE_VALUE,AVERAGE_AGE,AVERAGE_ANNUAL_SALARY_PER_FTE
District Level,2013/2014,Q4,33,Chilliwack,Educator,Male,267,262.5475,46,75379
District Level,2013/2014,Q4,33,Chilliwack,Educator,Female,550,499.2695,44,70016
District Level,2013/2014,Q4,33,Chilliwack,Teacher,All,752,696.817,44,70352
District Level,2013/2014,Q4,33,Chilliwack,Teacher,Male,228,223.5475,46,73331
District Level,2013/2014,Q4,33,Chilliwack,Teacher,Female,524,473.2695,44,69160
District Level,2013/2014,Q1,34,Abbotsford,Administrator,All,87,87,48,104365
District Level,2013/2014,Q1,34,Abbotsford,Administrator,Male,44,44,49,106654
District Level,2013/2014,Q1,34,Abbotsford,Administrator,Female,43,43,48,102076
District Level,2013/2014,Q1,34,Abbotsford,Educator,All,1215,1119.733,44,72028
District Level,2013/2014,Q1,34,Abbotsford,Educator,Male,356,350.999,45,76900
District Level,2013/2014,Q1,34,Abbotsford,Educator,Female,859,768.734,43,70046
District Level,2013/2014,Q1,34,Abbotsford,Teacher,All,1128,1032.733,43,69568
District Level,2013/2014,Q1,34,Abbotsford,Teacher,Male,312,306.999,45,72757
District Level,2013/2014,Q1,34,Abbotsford,Teacher,Female,816,725.734,43,68370
District Level,2013/2014,Q4,34,Abbotsford,Administrator,All,86,86,49,104423
District Level,2013/2014,Q4,34,Abbotsford,Administrator,Male,43,43,49,107266
District Level,2013/2014,Q4,34,Abbotsford,Administrator,Female,43,43,48,101581
District Level,2013/2014,Q4,34,Abbotsford,Educator,All,1266,1157.573,44,71612
District Level,2013/2014,Q4,34,Abbotsford,Educator,Male,378,371.703,45,75580
District Level,2013/2014,Q4,34,Abbotsford,Educator,Female,888,785.87,43,69937
District Level,2013/2014,Q4,34,Abbotsford,Teacher,All,1180,1071.573,43,69295
District Level,2013/2014,Q4,34,Abbotsford,Teacher,Male,335,328.703,45,71620
District Level,2013/2014,Q4,34,Abbotsford,Teacher,Female,845,742.87,43,68380
District Level,2013/2014,Q1,35,Langley,Administrator,All,89,88.8,48,105756
District Level,2013/2014,Q1,35,Langley,Administrator,Male,51,51,47,107417
District Level,2013/2014,Q1,35,Langley,Administrator,Female,38,37.8,51,103584
District Level,2013/2014,Q1,35,Langley,Educator,All,1259,1128.4205,45,70815
District Level,2013/2014,Q1,35,Langley,Educator,Male,358,342.542,45,74507
District Level,2013/2014,Q1,35,Langley,Educator,Female,901,785.8785,44,69424
District Level,2013/2014,Q1,35,Langley,Teacher,All,1170,1039.6205,44,68491
