Data Level,SCHOOL_YEAR,REPORTING_PERIOD,DISTRICT_NUMBER,DISTRICT_NAME,EMPLOYMENT_CATEGORY,GENDER,HEADCOUNT,FTE_VALUE,AVERAGE_AGE,AVERAGE_ANNUAL_SALARY_PER_FTE
District Level,2013/2014,Q4,33,Chilliwack,Administrator,All,65.0,65.0,47.0,89404.0
District Level,2013/2014,Q4,33,Chilliwack,Administrator,Male,39.0,39.0,46.0,88559.0
District Level,2013/2014,Q4,33,Chilliwack,Administrator,Female,26.0,26.0,48.0,90671.0
District Level,2013/2014,Q4,33,Chilliwack,Educator,All,817.0,761.817,45.0,71665.0
District Level,2013/2014,Q4,33,Chilliwack,Educator,Male,267.0,262.5475,46.0,75379.0
District Level,2013/2014,Q4,33,Chilliwack,Educator,Female,550.0,499.2695,44.0,70016.0
District Level,2013/2014,Q4,33,Chilliwack,Teacher,All,752.0,696.817,44.0,70352.0
District Level,2013/2014,Q4,33,Chilliwack,Teacher,Male,228.0,223.5475,46.0,73331.0
District Level,2013/2014,Q4,33,Chilliwack,Teacher,Female,524.0,473.2695,44.0,69160.0
District Level,2013/2014,Q1,34,Abbotsford,Administrator,All,87.0,87.0,48.0,104365.0
District Level,2013/2014,Q1,34,Abbotsford,Administrator,Male,44.0,44.0,49.0,106654.0
District Level,2013/2014,Q1,34,Abbotsford,Administrator,Female,43.0,43.0,48.0,102076.0
District Level,2013/2014,Q1,34,Abbotsford,Educator,All,1215.0,1119.733,44.0,72028.0
District Level,2013/2014,Q1,34,Abbotsford,Educator,Male,356.0,350.999,45.0,76900.0
District Level,2013/2014,Q1,34,Abbotsford,Educator,Female,859.0,768.734,43.0,70046.0
District Level,2013/2014,Q1,34,Abbotsford,Teacher,All,1128.0,1032.733,43.0,69568.0
District Level,2013/2014,Q1,34,Abbotsford,Teacher,Male,312.0,306.999,45.0,72757.0
District Level,2013/2014,Q1,34,Abbotsford,Teacher,Female,816.0,725.734,43.0,68370.0
District Level,2013/2014,Q4,34,Abbotsford,Administrator,All,86.0,86.0,49.0,104423.0
District Level,2013/2014,Q4,34,Abbotsford,Administrator,Male,43.0,43.0,49.0,107266.0
District Level,2013/2014,Q4,34,Abbotsford,Administrator,Female,43.0,43.0,48.0,101581.0
District Level,2013/2014,Q4,34,Abbotsford,Educator,All,1266.0,1157.573,44.0,71612.0
District Level,2013/2014,Q4,34,Abbotsford,Educator,Male,378.0,371.703,45.0,75580.0
District Level,2013/2014,Q4,34,Abbotsford,Educator,Female,888.0,785.87,43.0,69937.0
District Level,2013/2014,Q4,34,Abbotsford,Teacher,All,1180.0,1071.573,43.0,69295.0
District Level,2013/2014,Q4,34,Abbotsford,Teacher,Male,335.0,328.703,45.0,71620.0
District Level,2013/2014,Q4,34,Abbotsford,Teacher,Female,845.0,742.87,43.0,68380.0
District Level,2013/2014,Q1,35,Langley,Administrator,All,89.0,88.8,48.0,105756.0
District Level,2013/2014,Q1,35,Langley,Administrator,Male,51.0,51.0,47.0,107417.0
District Level,2013/2014,Q1,35,Langley,Administrator,Female,38.0,37.8,51.0,103584.0
District Level,2013/2014,Q1,35,Langley,Educator,All,1259.0,1128.4205,45.0,70815.0
District Level,2013/2014,Q1,35,Langley,Educator,Male,358.0,342.542,45.0,74507.0
District Level,2013/2014,Q1,35,Langley,Educator,Female,901.0,785.8785,44.0,69424.0
District Level,2013/2014,Q1,35,Langley,Teacher,All,1170.0,1039.6205,44.0,68491.0
District Level,2013/2014,Q1,35,Langley,Teacher,Male,307.0,291.542,45.0,69627.0
District Level,2013/2014,Q1,35,Langley,Teacher,Female,863.0,748.0785,44.0,68104.0
District Level,2013/2014,Q4,35,Langley,Administrator,All,91.0,93.2,49.0,105517.0
District Level,2013/2014,Q4,35,Langley,Administrator,Male,53.0,55.0,47.0,106998.0
District Level,2013/2014,Q4,35,Langley,Administrator,Female,38.0,38.2,51.0,103482.0
District Level,2013/2014,Q4,35,Langley,Educator,All,1268.0,1138.622,44.0,70519.0
District Level,2013/2014,Q4,35,Langley,Educator,Male,364.0,352.607,45.0,74576.0
District Level,2013/2014,Q4,35,Langley,Educator,Female,904.0,786.015,44.0,68962.0
District Level,2013/2014,Q4,35,Langley,Teacher,All,1177.0,1045.422,44.0,68140.0
District Level,2013/2014,Q4,35,Langley,Teacher,Male,311.0,297.607,45.0,69609.0
District Level,2013/2014,Q4,35,Langley,Teacher,Female,866.0,747.815,44.0,67633.0
District Level,2013/2014,Q1,36,Surrey,Administrator,All,250.0,249.35,48.0,102650.0
District Level,2013/2014,Q1,36,Surrey,Administrator,Male,110.0,109.35,48.0,105985.0
District Level,2013/2014,Q1,36,Surrey,Administrator,Female,140.0,140.0,48.0,100108.0
District Level,2013/2014,Q1,36,Surrey,Educator,All,4494.0,4130.255,43.0,71850.0
District Level,2013/2014,Q1,36,Surrey,Educator,Male,1151.0,1128.895,45.0,75900.0
District Level,2013/2014,Q1,36,Surrey,Educator,Female,3343.0,3001.36,43.0,70398.0
District Level,2013/2014,Q1,36,Surrey,Teacher,All,4244.0,3880.905,43.0,69488.0
District Level,2013/2014,Q1,36,Surrey,Teacher,Male,1041.0,1019.545,45.0,71922.0
District Level,2013/2014,Q1,36,Surrey,Teacher,Female,3203.0,2861.36,42.0,68672.0
District Level,2013/2014,Q4,36,Surrey,Administrator,All,250.0,249.1,49.0,101356.0
District Level,2013/2014,Q4,36,Surrey,Administrator,Male,106.0,105.5,49.0,106694.0
District Level,2013/2014,Q4,36,Surrey,Administrator,Female,144.0,143.6,49.0,97560.0
District Level,2013/2014,Q4,36,Surrey,Educator,All,4534.0,4169.845,43.0,71503.0
District Level,2013/2014,Q4,36,Surrey,Educator,Male,1148.0,1129.105,45.0,75346.0
District Level,2013/2014,Q4,36,Surrey,Educator,Female,3386.0,3040.74,43.0,70166.0
District Level,2013/2014,Q4,36,Surrey,Teacher,All,4284.0,3920.745,43.0,69310.0
District Level,2013/2014,Q4,36,Surrey,Teacher,Male,1042.0,1023.605,45.0,71464.0
District Level,2013/2014,Q4,36,Surrey,Teacher,Female,3242.0,2897.14,43.0,68604.0
District Level,2013/2014,Q1,37,Delta,Administrator,All,74.0,74.0,48.0,107667.0
District Level,2013/2014,Q1,37,Delta,Administrator,Male,35.0,35.0,46.0,108706.0
District Level,2013/2014,Q1,37,Delta,Administrator,Female,39.0,39.0,50.0,106735.0
District Level,2013/2014,Q1,37,Delta,Educator,All,1094.0,995.48,45.0,73500.0
District Level,2013/2014,Q1,37,Delta,Educator,Male,280.0,271.53,44.0,76733.0
District Level,2013/2014,Q1,37,Delta,Educator,Female,814.0,723.95,45.0,72387.0
District Level,2013/2014,Q1,37,Delta,Teacher,All,1020.0,921.48,44.0,71021.0
District Level,2013/2014,Q1,37,Delta,Teacher,Male,245.0,236.53,44.0,72166.0
District Level,2013/2014,Q1,37,Delta,Teacher,Female,775.0,684.95,44.0,70659.0
District Level,2013/2014,Q4,37,Delta,Administrator,All,75.0,74.5,49.0,107868.0
District Level,2013/2014,Q4,37,Delta,Administrator,Male,35.0,35.0,46.0,108622.0
District Level,2013/2014,Q4,37,Delta,Administrator,Female,40.0,39.5,51.0,107209.0
District Level,2013/2014,Q4,37,Delta,Educator,All,1113.0,1002.555,45.0,73883.0
District Level,2013/2014,Q4,37,Delta,Educator,Male,291.0,278.335,45.0,76595.0
District Level,2013/2014,Q4,37,Delta,Educator,Female,822.0,724.22,45.0,72923.0
District Level,2013/2014,Q4,37,Delta,Teacher,All,1038.0,928.055,45.0,71427.0
District Level,2013/2014,Q4,37,Delta,Teacher,Male,256.0,243.335,44.0,72216.0
District Level,2013/2014,Q4,37,Delta,Teacher,Female,782.0,684.72,45.0,71169.0
District Level,2013/2014,Q1,38,Richmond,Administrator,All,105.0,105.0,50.0,105637.0
District Level,2013/2014,Q1,38,Richmond,Administrator,Male,44.0,44.0,49.0,104771.0
District Level,2013/2014,Q1,38,Richmond,Administrator,Female,61.0,61.0,51.0,106290.0
District Level,2013/2014,Q1,38,Richmond,Educator,All,1393.0,1284.085,44.0,72745.0
District Level,2013/2014,Q1,38,Richmond,Educator,Male,395.0,385.385,44.0,74433.0
District Level,2013/2014,Q1,38,Richmond,Educator,Female,998.0,898.7,44.0,72079.0
District Level,2013/2014,Q1,38,Richmond,Teacher,All,1288.0,1179.085,43.0,70465.0
District Level,2013/2014,Q1,38,Richmond,Teacher,Male,351.0,341.385,44.0,71118.0
District Level,2013/2014,Q1,38,Richmond,Teacher,Female,937.0,837.7,43.0,70219.0
District Level,2013/2014,Q4,38,Richmond,Administrator,All,102.0,102.0,50.0,105137.0
District Level,2013/2014,Q4,38,Richmond,Administrator,Male,44.0,44.0,49.0,104857.0
District Level,2013/2014,Q4,38,Richmond,Administrator,Female,58.0,58.0,51.0,105360.0
District Level,2013/2014,Q4,38,Richmond,Educator,All,1342.0,1232.9371,44.0,72372.0
